   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1600    0.051    0.000    0.191    0.000 /usr/lib/python3.14/site-packages/matplotlib/lines.py:686(recache)
      402    0.007    0.000    0.191    0.000 /usr/lib/python3.14/site-packages/matplotlib/ticker.py:575(set_useMathText)
     2406    0.010    0.000    0.189    0.000 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:93(draw_path)
    22189    0.079    0.000    0.186    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:2342(__init__)
    22773    0.039    0.000    0.185    0.000 /usr/lib/python3.14/site-packages/matplotlib/figure.py:65(_stale_figure_callback)
      227    0.001    0.000    0.182    0.001 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1413(__init__)
      808    0.008    0.000    0.182    0.000 /usr/lib/python3.14/site-packages/matplotlib/axis.py:946(set_tick_params)
      227    0.063    0.000    0.180    0.001 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1433(get_aliases)
     4612    0.009    0.000    0.178    0.000 /usr/lib/python3.14/site-packages/matplotlib/font_manager.py:677(_from_any)
     8994    0.024    0.000    0.177    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:786(unit)
    43730    0.120    0.000    0.177    0.000 /usr/lib/python3.14/site-packages/matplotlib/cbook.py:2020(_setattr_cm)
     8997    0.016    0.000    0.176    0.000 /usr/lib/python3.14/site-packages/numpy/_core/fromnumeric.py:207(reshape)
      601    0.126    0.000    0.174    0.000 /usr/lib/python3.14/site-packages/matplotlib/quiver.py:714(_h_arrows)
    43992    0.150    0.000    0.173    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:180(set_children)
     2406    0.157    0.000    0.172    0.000 {built-in method matplotlib.backends._backend_agg.draw_path}
     4611    0.030    0.000    0.172    0.000 /usr/lib/python3.14/site-packages/matplotlib/font_manager.py:656(__init__)
23319/23318    0.028    0.000    0.169    0.000 /usr/lib/python3.14/contextlib.py:136(__enter__)
      200    0.010    0.000    0.167    0.001 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:2349(add_collection)
      200    0.003    0.000    0.166    0.001 /usr/lib/python3.14/site-packages/matplotlib/cbook.py:2107(_unmultiplied_rgba8888_to_premultiplied_argb32)
      601    0.002    0.000    0.154    0.000 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:2782(gca)
    29459    0.068    0.000    0.153    0.000 /usr/lib/python3.14/copy.py:62(copy)
        1    0.000    0.000    0.153    0.153 /usr/lib/python3.14/site-packages/matplotlib/patches.py:1(<module>)
     8994    0.048    0.000    0.151    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:2576(__init__)
     9600    0.024    0.000    0.150    0.000 /usr/lib/python3.14/site-packages/matplotlib/lines.py:662(set_data)
      808    0.016    0.000    0.149    0.000 /usr/lib/python3.14/site-packages/matplotlib/axis.py:302(_apply_params)
     8193    0.049    0.000    0.148    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:1088(__init__)
